type,username,password,role,feedback_id,agent,feedback_text,status,report_id,date,feedback_applied,updated_at
user,agent1,pass789,Agent,,,,,,,,
user,coach1,pass456,Coach,,,,,,,,
user,agent4,pass123,Agent,,,,,,,,
user,coach2,pass654,Coach,,,,,,,,
user,agent6,pass789,Agent,,,,,,,,
feedback,,,,feedback_2,agent4,dummy_feedback_01,Integrated,,,,2024-11-16 18:59:05
feedback,,,,feedback_3,agent1,feedback_1857,Integrated,,,,2024-11-16 18:58:44
feedback,,,,feedback_4,agent4,feedback_1830,Not Integrated,,,,2024-11-16 18:57:43
feedback,,,,feedback_5,agent1,feedback_1840,Not Integrated,,,,2024-11-16 18:58:08
feedback,,,,feedback_6,agent6,feedback_1914,Not Integrated,,,,2024-11-16 19:14:10
feedback,,,,feedback_7,agent6,feedback_1930,Integrated,,,,2024-11-14 14:14:11
feedback,,,,feedback_8,agent6,feedback_1415,Not Integrated,,,,2024-11-14 13:14:12
